File,WaveData20230731_067.csv,
Date/Time,23-07-31/07:40,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,7.2050E-009
1200.250000,1.3920E-008
1200.500000,3.7720E-008
1200.750000,2.6240E-008
1201.000000,2.4780E-008
1201.250000,2.3590E-008
1201.500000,3.3650E-008
1201.750000,-9.0430E-009
1202.000000,3.3230E-008
1202.250000,6.3060E-009
1202.500000,-1.6380E-009
1202.750000,3.5090E-009
1203.000000,1.0880E-008
1203.250000,1.4900E-008
1203.500000,2.4310E-008
1203.750000,-4.2700E-009
1204.000000,4.2240E-009
1204.250000,3.2490E-008
1204.500000,2.0890E-008
1204.750000,3.8360E-009
1205.000000,1.6480E-008
1205.250000,4.2230E-008
1205.500000,7.8360E-010
1205.750000,4.7720E-008
1206.000000,1.8370E-008
1206.250000,7.1800E-009
1206.500000,3.7500E-008
1206.750000,2.5560E-008
1207.000000,2.4140E-008
1207.250000,8.7370E-009
1207.500000,1.6670E-008
1207.750000,1.6860E-008
1208.000000,1.1270E-008
1208.250000,3.5270E-008
1208.500000,9.7770E-009
1208.750000,-3.4090E-009
1209.000000,3.0540E-008
1209.250000,1.2660E-008
1209.500000,2.0210E-008
1209.750000,9.8180E-009
1210.000000,9.7390E-009
1210.250000,6.5110E-009
1210.500000,2.1780E-008
1210.750000,1.6290E-008
1211.000000,1.7240E-008
1211.250000,4.0440E-008
1211.500000,1.0720E-008
1211.750000,1.2360E-008
1212.000000,5.1920E-008
1212.250000,1.2230E-008
1212.500000,-2.5970E-009
1212.750000,2.0040E-008
1213.000000,4.5820E-008
1213.250000,1.7110E-008
1213.500000,1.8510E-008
1213.750000,2.1140E-008
1214.000000,1.5440E-008
1214.250000,-1.4780E-009
1214.500000,4.9250E-008
1214.750000,1.9430E-008
1215.000000,1.5740E-008
1215.250000,3.3990E-008
1215.500000,1.1760E-008
1215.750000,6.1010E-008
1216.000000,3.5290E-008
1216.250000,4.6910E-008
1216.500000,3.3780E-008
1216.750000,2.2130E-008
1217.000000,3.3910E-008
1217.250000,4.1630E-008
1217.500000,3.1960E-008
1217.750000,3.0400E-008
1218.000000,2.1900E-008
1218.250000,6.3650E-008
1218.500000,5.5900E-008
1218.750000,4.7190E-008
1219.000000,5.4620E-008
1219.250000,7.2020E-008
1219.500000,5.4990E-008
1219.750000,4.3400E-008
1220.000000,7.3410E-008
1220.250000,6.8430E-008
1220.500000,7.6970E-008
1220.750000,6.8170E-008
1221.000000,7.2090E-008
1221.250000,6.9890E-008
1221.500000,5.6120E-008
1221.750000,8.6660E-008
1222.000000,7.7840E-008
1222.250000,1.2230E-007
1222.500000,1.3850E-007
1222.750000,1.6150E-007
1223.000000,1.4930E-007
1223.250000,1.7460E-007
1223.500000,1.6380E-007
1223.750000,1.4250E-007
1224.000000,1.1730E-007
1224.250000,1.5790E-007
1224.500000,1.9450E-007
1224.750000,1.8150E-007
1225.000000,2.5840E-007
1225.250000,2.4330E-007
1225.500000,2.7820E-007
1225.750000,2.6610E-007
1226.000000,2.3670E-007
1226.250000,2.1020E-007
1226.500000,2.1870E-007
1226.750000,2.0620E-007
1227.000000,2.1950E-007
1227.250000,2.3560E-007
1227.500000,2.1160E-007
1227.750000,2.0960E-007
1228.000000,1.9090E-007
1228.250000,2.2420E-007
1228.500000,2.1270E-007
1228.750000,2.9600E-007
1229.000000,3.0560E-007
1229.250000,3.5180E-007
1229.500000,3.7140E-007
1229.750000,3.7150E-007
1230.000000,3.9740E-007
1230.250000,3.2640E-007
1230.500000,3.5410E-007
1230.750000,3.5660E-007
1231.000000,3.6850E-007
1231.250000,4.9530E-007
1231.500000,6.1990E-007
1231.750000,8.0830E-007
1232.000000,8.5590E-007
1232.250000,7.7320E-007
1232.500000,6.7550E-007
1232.750000,6.1950E-007
1233.000000,5.3910E-007
1233.250000,5.1220E-007
1233.500000,6.2340E-007
1233.750000,7.0240E-007
1234.000000,6.5240E-007
1234.250000,6.2440E-007
1234.500000,6.3450E-007
1234.750000,6.1530E-007
1235.000000,5.3850E-007
1235.250000,5.2150E-007
1235.500000,5.0920E-007
1235.750000,4.4990E-007
1236.000000,3.7110E-007
1236.250000,3.1110E-007
1236.500000,3.0540E-007
1236.750000,3.1300E-007
1237.000000,3.3460E-007
1237.250000,4.2720E-007
1237.500000,7.4050E-007
1237.750000,1.1580E-006
1238.000000,1.4900E-006
1238.250000,1.6400E-006
1238.500000,1.6080E-006
1238.750000,1.5630E-006
1239.000000,1.5760E-006
1239.250000,1.8340E-006
1239.500000,2.6240E-006
1239.750000,3.4090E-006
1240.000000,3.5470E-006
1240.250000,3.5200E-006
1240.500000,3.5140E-006
1240.750000,3.7340E-006
1241.000000,4.1420E-006
1241.250000,4.8980E-006
1241.500000,5.5080E-006
1241.750000,5.4150E-006
1242.000000,4.9040E-006
