File,WaveData20230805_164.csv,
Date/Time,23-08-05/06:34,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,3.5660E-007
1200.250000,3.5360E-007
1200.500000,3.1380E-007
1200.750000,3.5890E-007
1201.000000,3.6770E-007
1201.250000,3.3310E-007
1201.500000,3.2300E-007
1201.750000,3.7800E-007
1202.000000,3.4810E-007
1202.250000,3.4360E-007
1202.500000,3.2720E-007
1202.750000,3.3680E-007
1203.000000,3.3620E-007
1203.250000,3.6310E-007
1203.500000,3.1150E-007
1203.750000,3.5010E-007
1204.000000,3.2960E-007
1204.250000,3.3900E-007
1204.500000,3.1600E-007
1204.750000,3.4420E-007
1205.000000,3.5340E-007
1205.250000,3.3090E-007
1205.500000,3.4530E-007
1205.750000,3.3460E-007
1206.000000,3.4620E-007
1206.250000,3.3370E-007
1206.500000,3.4290E-007
1206.750000,3.2810E-007
1207.000000,3.1570E-007
1207.250000,3.2940E-007
1207.500000,3.4620E-007
1207.750000,3.7490E-007
1208.000000,3.5660E-007
1208.250000,3.4790E-007
1208.500000,3.7320E-007
1208.750000,4.0240E-007
1209.000000,3.1100E-007
1209.250000,3.4050E-007
1209.500000,3.6090E-007
1209.750000,3.1430E-007
1210.000000,3.3800E-007
1210.250000,3.7040E-007
1210.500000,3.7300E-007
1210.750000,3.5480E-007
1211.000000,3.4940E-007
1211.250000,3.3750E-007
1211.500000,3.4960E-007
1211.750000,4.0310E-007
1212.000000,3.7960E-007
1212.250000,3.6260E-007
1212.500000,3.7490E-007
1212.750000,3.7870E-007
1213.000000,3.6210E-007
1213.250000,4.0180E-007
1213.500000,3.8530E-007
1213.750000,4.2600E-007
1214.000000,3.9010E-007
1214.250000,3.8130E-007
1214.500000,3.7990E-007
1214.750000,3.8290E-007
1215.000000,4.0760E-007
1215.250000,3.7850E-007
1215.500000,4.5440E-007
1215.750000,4.8330E-007
1216.000000,4.7940E-007
1216.250000,4.9780E-007
1216.500000,4.7820E-007
1216.750000,5.0710E-007
1217.000000,4.7580E-007
1217.250000,4.6880E-007
1217.500000,4.8280E-007
1217.750000,5.1810E-007
1218.000000,5.3420E-007
1218.250000,5.3970E-007
1218.500000,6.0700E-007
1218.750000,6.1740E-007
1219.000000,6.0640E-007
1219.250000,6.2560E-007
1219.500000,6.0330E-007
1219.750000,6.3020E-007
1220.000000,6.6700E-007
1220.250000,7.2140E-007
1220.500000,6.8660E-007
1220.750000,8.2170E-007
1221.000000,7.6100E-007
1221.250000,7.3220E-007
1221.500000,7.6430E-007
1221.750000,8.4430E-007
1222.000000,8.5640E-007
1222.250000,8.8540E-007
1222.500000,8.9780E-007
1222.750000,9.1080E-007
1223.000000,9.6460E-007
1223.250000,1.1150E-006
1223.500000,1.1220E-006
1223.750000,1.2660E-006
1224.000000,1.2730E-006
1224.250000,1.2270E-006
1224.500000,1.2050E-006
1224.750000,1.1910E-006
1225.000000,1.1470E-006
1225.250000,1.5270E-006
1225.500000,1.7090E-006
1225.750000,1.8530E-006
1226.000000,2.0360E-006
1226.250000,2.0390E-006
1226.500000,1.7100E-006
1226.750000,1.7360E-006
1227.000000,1.6460E-006
1227.250000,1.8310E-006
1227.500000,2.2550E-006
1227.750000,2.5020E-006
1228.000000,2.8090E-006
1228.250000,2.9790E-006
1228.500000,2.7350E-006
1228.750000,2.3960E-006
1229.000000,2.4740E-006
1229.250000,2.5470E-006
1229.500000,3.0410E-006
1229.750000,3.8890E-006
1230.000000,4.2230E-006
1230.250000,4.2480E-006
1230.500000,4.0070E-006
1230.750000,3.6120E-006
1231.000000,3.3810E-006
1231.250000,3.5320E-006
1231.500000,4.0430E-006
1231.750000,5.1650E-006
1232.000000,5.7120E-006
1232.250000,5.8910E-006
1232.500000,5.8740E-006
1232.750000,5.5380E-006
1233.000000,4.9190E-006
1233.250000,5.0080E-006
1233.500000,5.6970E-006
1233.750000,6.7390E-006
1234.000000,7.3180E-006
1234.250000,7.3900E-006
1234.500000,7.8960E-006
1234.750000,7.7180E-006
1235.000000,7.1880E-006
1235.250000,7.5270E-006
1235.500000,8.7450E-006
1235.750000,9.6360E-006
1236.000000,9.8260E-006
1236.250000,9.7240E-006
1236.500000,1.0670E-005
1236.750000,1.0920E-005
1237.000000,1.0590E-005
1237.250000,1.1250E-005
1237.500000,1.2680E-005
1237.750000,1.3360E-005
1238.000000,1.3010E-005
1238.250000,1.2710E-005
1238.500000,1.3900E-005
1238.750000,1.5070E-005
1239.000000,1.4960E-005
1239.250000,1.6300E-005
1239.500000,1.7810E-005
1239.750000,1.8310E-005
1240.000000,1.7180E-005
1240.250000,1.6370E-005
1240.500000,1.7510E-005
1240.750000,1.9460E-005
1241.000000,2.0030E-005
1241.250000,2.2280E-005
1241.500000,2.3450E-005
1241.750000,2.2830E-005
1242.000000,2.1140E-005
1242.250000,2.0400E-005
